Analysis,Correlation (r),R²,Dice (t=0),Dice (t=1.96)
Affiliation-Merged,0.4884890734739217,0.23862157490341046,0.500752088784397,0.21299356932507962
Self-Merged,0.47783890100136056,0.22833001531018807,0.4321891267759991,0.20736527523378
Others-Merged,0.5999412230572446,0.35992947112342255,0.6339317502941798,0.4016432361016494
SocComm-Merged,0.5842217658518964,0.3413150716951081,0.620075100765936,0.3885480572597137
ALL-Merged,0.6969797599444507,0.48578078577222417,0.6859432273463473,0.41179965035558497
