id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20
24814646-24814646_9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24825504-24825504_4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
24834034-24834034_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
24834034-24834034_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24834034-24834034_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24834034-24834034_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24834034-24834034_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25729358-25729358_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25729358-25729358_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25729358-25729358_3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25729358-25729358_4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25729358-25729358_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25729358-25729358_6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26235682-26235682_4	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26262561-26262561_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26365506-26365506_1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
26365506-26365506_2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26481048-26481048_1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26481048-26481048_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26481048-26481048_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26481048-26481048_4	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
26812250-26812250_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
