id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12
18537114-18537114_analysis_1	1	1	0	0	1	0	0	0	0	0	0	0
18537114-18537114_analysis_2	1	1	0	0	1	0	1	0	0	0	0	0
18603608-18603608_analysis_0	0	2	0	1	0	0	0	0	0	0	0	0
18603608-18603608_analysis_1	0	1	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_0	0	4	0	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_1	0	0	0	3	0	0	0	0	0	0	0	0
18633788-18633788_analysis_10	2	3	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_11	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_12	0	0	0	0	0	0	1	0	0	0	0	0
18633788-18633788_analysis_13	1	0	1	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_2	0	2	0	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_3	0	0	0	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_5	0	1	0	1	0	0	0	0	0	0	0	0
18633788-18633788_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_0	0	1	0	1	1	0	0	0	0	0	1	0
18633834-18633834_analysis_1	0	1	0	1	0	0	0	0	0	0	1	0
18633834-18633834_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_3	1	0	0	1	0	0	0	0	0	0	0	0
18633834-18633834_analysis_4	1	0	0	2	1	0	0	0	0	0	0	0
18633834-18633834_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0
18633846-18633846_analysis_0	0	3	1	0	0	0	0	0	0	0	0	0
18633846-18633846_analysis_1	1	0	0	1	0	0	1	0	0	0	0	0
